Team1,Team2,Date,Year,Time,Place,Toss,TossDecision,Result
CSK,DC,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Delhi Daredevils won by 6 wickets (with 8 balls remaining)
PBKS,DCG,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Unknown,Unknown,Deccan Chargers won by 5 wickets (with 5 balls remaining)
RCB,MI,Unknown,Unknown,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Mumbai Indians won by 57 runs
KKR,RR,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Kolkata Knight Riders won by 8 wickets (with 23 balls remaining)
PBKS,CSK,Unknown,Unknown,10:30 AM GMT / 04:00 PM LOCAL,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Unknown,Unknown,Chennai Super Kings won by 6 wickets (with 2 balls remaining)
DC,DCG,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Deccan Chargers won by 11 runs
KKR,MI,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Kolkata Knight Riders won by 9 wickets (with 15 balls remaining)
RCB,MI,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Unknown,Unknown,Mumbai Indians won by 35 runs
CSK,DCG,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Unknown,Unknown,Chennai Super Kings won by 38 runs
RCB,DCG,Unknown,Unknown,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Unknown,Unknown,Royal Challengers Bangalore won by 9 wickets (with 37 balls remaining)
CSK,MI,Unknown,Unknown,03:00 PM GMT / 08:30 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Unknown,Unknown,Chennai Super Kings won by 22 runs
